ID,name,region
0,Afghanistan,ASIA
1,Albania,EUROPE
2,Algeria,AFRICA
3,Andorra,EUROPE
4,Angola,AFRICA
5,Antigua & Barbuda,AMERICAS
6,Argentina,AMERICAS
7,Armenia,ASIA
8,Australia,OCEANIA
9,Austria,EUROPE
10,Azerbaijan,ASIA
11,Bahamas,AMERICAS
12,Bahrain,MIDDLE EAST
13,Bangladesh,ASIA
14,Barbados,AMERICAS
15,Belarus,EUROPE
16,Belgium,EUROPE
17,Belize,AMERICAS
18,Benin,AFRICA
19,Bhutan,ASIA
20,Bolivia,AMERICAS
21,Bosnia & Herzegovina,EUROPE
22,Botswana,AFRICA
23,Brazil,AMERICAS
24,Brunei Darusalam,ASIA
25,Bulgaria,EUROPE
26,Burkina Faso,AFRICA
27,Burundi,AFRICA
28,Cambodia,ASIA
29,Cameroon,AFRICA
30,Canada,AMERICAS
31,Cape Verde,AFRICA
32,Central African Republic,AFRICA
33,Chad,AFRICA
34,Chile,AMERICAS
35,China,ASIA
36,Colombia,AMERICAS
37,Comoros,AFRICA
38,Congo (Rep of the),AFRICA
39,Congo (Dem Rep of the),AFRICA
40,Cook Islands,OCEANIA
41,Costa Rica,AMERICAS
42,Ivory Coast,AFRICA
43,Croatia,EUROPE
44,Cuba,AMERICAS
45,Cyprus,MIDDLE EAST
46,Czech Republic,EUROPE
47,Denmark,EUROPE
48,Djibouti,AFRICA
49,Dominica,AMERICAS
50,Dominican Republic,AMERICAS
51,North Korea,ASIA
52,Ecuador,AMERICAS
53,Egypt,AFRICA
54,El Salvador,AMERICAS
55,Equatorial Guinea,AFRICA
56,Eritrea,AFRICA
57,Estonia,EUROPE
58,Ethiopia,AFRICA
59,Fiji,OCEANIA
60,Finland,EUROPE
61,France,EUROPE
62,Gabon,AFRICA
63,Gambia,AFRICA
64,Georgia,ASIA
65,Germany,EUROPE
66,Ghana,AFRICA
67,Greece,EUROPE
68,Grenada,AMERICAS
69,Guatemala,AMERICAS
70,Guinea,AFRICA
71,Guinea-Bissau,AFRICA
72,Guyana,AMERICAS
73,Haiti,AMERICAS
74,Holy See,EUROPE
75,Honduras,AMERICAS
76,Hong Kong,ASIA
77,Hungary,EUROPE
78,Iceland,EUROPE
79,India,MIDDLE EAST
80,Indonesia,ASIA
81,Iran,MIDDLE EAST
82,Iraq,MIDDLE EAST
83,Ireland,EUROPE
84,Israel,MIDDLE EAST
85,Italy,EUROPE
86,Jamaica,AMERICAS
87,Japan,ASIA
88,Jordan,MIDDLE EAST
89,Kazakhstan,ASIA
90,Kenya,AFRICA
91,Kiribati,OCEANIA
92,Kosovo,EUROPE
93,Kuwait,MIDDLE EAST
94,Kyrgyzstan,ASIA
95,Laos,ASIA
96,Latvia,EUROPE
97,Lebanon,MIDDLE EAST
98,Lesotho,AFRICA
99,Liberia,AFRICA
100,Libya,AFRICA
101,Liechtenstein,EUROPE
102,Lithuania,EUROPE
103,Luxembourg,EUROPE
104,Macedonia,EUROPE
105,Madagascar,AFRICA
106,Malawi,AFRICA
107,Malaysia,ASIA
108,Maldives,ASIA
109,Mali,AFRICA
110,Malta,EUROPE
111,Marshall Islands,OCEANIA
112,Mauritania,AFRICA
113,Mauritius,AFRICA
114,Mexico,AMERICAS
115,Micronesia,OCEANIA
116,Moldova,EUROPE
117,Monaco,EUROPE
118,Mongolia,ASIA
119,Montenegro,EUROPE
120,Morocco,AFRICA
121,Mozambique,AFRICA
122,Myanmar,ASIA
123,Namibia,AFRICA
124,Nauru,OCEANIA
125,Nepal,ASIA
126,Netherlands,EUROPE
127,New Zealand,OCEANIA
128,Nicaragua,AMERICAS
129,Niger,AFRICA
130,Nigeria,AFRICA
131,Niue,OCEANIA
132,Norway,EUROPE
133,Oman,MIDDLE EAST
134,Pakistan,ASIA
135,Palau,OCEANIA
136,Palestine,MIDDLE EAST
137,Panama,AMERICAS
138,Papua New Guinea,OCEANIA
139,Paraguay,AMERICAS
140,Peru,AMERICAS
141,Philippines,ASIA
142,Poland,EUROPE
143,Portugal,EUROPE
144,Qatar,MIDDLE EAST
145,South Korea,ASIA
146,Romania,EUROPE
147,Russia,EUROPE
148,Rwanda,AFRICA
149,Saint Kitts & Nevis,AMERICAS
150,Saint Vincent & Grenadines,AMERICAS
151,Samoa,OCEANIA
152,San Marino,EUROPE
153,Sao Tome & Principe,AFRICA
154,Saudi Arabia,MIDDLE EAST
155,Senegal,AFRICA
156,Serbia,EUROPE
157,Seychelles,AFRICA
