ID,eventName,signYear,endYearEstimated,signWithCountry,type,category
190,defense cooperation agreement,1984,2010,Canada,sector,PROCUREMENT
30,defense cooperation agreement,1984,2010,United States,sector,PROCUREMENT
190,defense cooperation agreement,1994,2010,Canada,general,DCA
30,defense cooperation agreement,1994,2010,United States,general,DCA
190,defense cooperation agreement,1996,2010,Canada,sector,PROCUREMENT
30,defense cooperation agreement,1996,2010,United States,sector,PROCUREMENT
190,defense cooperation agreement,1996,2010,Canada,sector,RESEARCH
30,defense cooperation agreement,1996,2010,United States,sector,RESEARCH
190,defense cooperation agreement,1999,2005,Canada,sector,PROCUREMENT
30,defense cooperation agreement,1999,2005,United States,sector,PROCUREMENT
190,defense cooperation agreement,2002,2008,Canada,general,DCA
30,defense cooperation agreement,2002,2008,United States,general,DCA
190,defense cooperation agreement,2009,2010,Colombia,sector,RESEARCH
36,defense cooperation agreement,2009,2010,United States,sector,RESEARCH
190,defense cooperation agreement,2009,2010,Colombia,general,DCA
36,defense cooperation agreement,2009,2010,United States,general,DCA
190,defense cooperation agreement,1983,2010,Brazil,general,DIC
23,defense cooperation agreement,1983,2010,United States,general,DIC
190,defense cooperation agreement,1984,2010,Brazil,general,DIC
23,defense cooperation agreement,1984,2010,United States,general,DIC
190,defense cooperation agreement,2010,2010,Brazil,general,DCA
23,defense cooperation agreement,2010,2010,United States,general,DCA
190,defense cooperation agreement,2006,2010,Paraguay,general,DCA
139,defense cooperation agreement,2006,2010,United States,general,DCA
190,defense cooperation agreement,1996,2002,Chile,general,DCA
34,defense cooperation agreement,1996,2002,United States,general,DCA
190,defense cooperation agreement,2008,2010,Chile,sector,RESEARCH
34,defense cooperation agreement,2008,2010,United States,sector,RESEARCH
190,defense cooperation agreement,1992,2010,Argentina,sector,TREX
6,defense cooperation agreement,1992,2010,United States,sector,TREX
190,defense cooperation agreement,1998,2010,Argentina,sector,RESEARCH
6,defense cooperation agreement,1998,2010,United States,sector,RESEARCH
190,defense cooperation agreement,1999,2010,Argentina,sector,COMMISSION
6,defense cooperation agreement,1999,2010,United States,sector,COMMISSION
190,defense cooperation agreement,2000,2006,Argentina,sector,RESEARCH
6,defense cooperation agreement,2000,2006,United States,sector,RESEARCH
190,defense cooperation agreement,2008,2010,Argentina,sector,TREX
6,defense cooperation agreement,2008,2010,United States,sector,TREX
190,defense cooperation agreement,1988,2010,United Kingdom,sector,RESEARCH
189,defense cooperation agreement,1988,2010,United States,sector,RESEARCH
190,defense cooperation agreement,1993,2010,United Kingdom,general,DCA
189,defense cooperation agreement,1993,2010,United States,general,DCA
190,defense cooperation agreement,1994,2010,United Kingdom,sector,RESEARCH
189,defense cooperation agreement,1994,2010,United States,sector,RESEARCH
190,defense cooperation agreement,1994,2000,United Kingdom,general,DIC
189,defense cooperation agreement,1994,2000,United States,general,DIC
190,defense cooperation agreement,2000,2010,United Kingdom,sector,RESEARCH
189,defense cooperation agreement,2000,2010,United States,sector,RESEARCH
190,defense cooperation agreement,2004,2010,United Kingdom,general,DIC
189,defense cooperation agreement,2004,2010,United States,general,DIC
190,defense cooperation agreement,1998,2010,Netherlands,sector,RESEARCH
126,defense cooperation agreement,1998,2010,United States,sector,RESEARCH
190,defense cooperation agreement,2010,2010,Luxembourg,general,DIC
103,defense cooperation agreement,2010,2010,United States,general,DIC
190,defense cooperation agreement,1994,2010,France,sector,RESEARCH
61,defense cooperation agreement,1994,2010,United States,sector,RESEARCH
190,defense cooperation agreement,1988,2010,Switzerland,general,DIC
172,defense cooperation agreement,1988,2010,United States,general,DIC
190,defense cooperation agreement,2007,2010,Switzerland,general,DIC
172,defense cooperation agreement,2007,2010,United States,general,DIC
190,defense cooperation agreement,1980,2010,Spain,sector,RESEARCH
166,defense cooperation agreement,1980,2010,United States,sector,RESEARCH
190,defense cooperation agreement,1982,2010,Spain,general,DIC
166,defense cooperation agreement,1982,2010,United States,general,DIC
190,defense cooperation agreement,1988,2010,Spain,general,DCA
166,defense cooperation agreement,1988,2010,United States,general,DCA
190,defense cooperation agreement,2002,2008,Spain,general,DIC
166,defense cooperation agreement,2002,2008,United States,general,DIC
190,defense cooperation agreement,2002,2010,Spain,general,DCA
166,defense cooperation agreement,2002,2010,United States,general,DCA
190,defense cooperation agreement,1995,2010,Portugal,general,DCA
143,defense cooperation agreement,1995,2010,United States,general,DCA
190,defense cooperation agreement,1995,2009,Germany,sector,RESEARCH
65,defense cooperation agreement,1995,2009,United States,sector,RESEARCH
190,defense cooperation agreement,2009,2010,Germany,sector,RESEARCH
65,defense cooperation agreement,2009,2010,United States,sector,RESEARCH
190,defense cooperation agreement,1995,2010,Poland,sector,RESEARCH
142,defense cooperation agreement,1995,2010,United States,sector,RESEARCH
190,defense cooperation agreement,1991,2010,Austria,sector,PROCUREMENT
9,defense cooperation agreement,1991,2010,United States,sector,PROCUREMENT
190,defense cooperation agreement,1995,2010,Hungary,sector,RESEARCH
77,defense cooperation agreement,1995,2010,United States,sector,RESEARCH
190,defense cooperation agreement,1996,2006,Czech Republic,sector,RESEARCH
46,defense cooperation agreement,1996,2006,United States,sector,RESEARCH
190,defense cooperation agreement,2008,2010,Czech Republic,sector,RESEARCH
46,defense cooperation agreement,2008,2010,United States,sector,RESEARCH
190,defense cooperation agreement,2009,2010,Czech Republic,sector,TREX
46,defense cooperation agreement,2009,2010,United States,sector,TREX
190,defense cooperation agreement,1994,2000,Slovakia,sector,COMMISSION
160,defense cooperation agreement,1994,2000,United States,sector,COMMISSION
190,defense cooperation agreement,1995,2001,Slovakia,sector,PROCUREMENT
160,defense cooperation agreement,1995,2001,United States,sector,PROCUREMENT
190,defense cooperation agreement,2006,2010,Italy,sector,RESEARCH
85,defense cooperation agreement,2006,2010,United States,sector,RESEARCH
190,defense cooperation agreement,2008,2010,Italy,general,DIC
85,defense cooperation agreement,2008,2010,United States,general,DIC
190,defense cooperation agreement,1993,1999,Albania,general,DCA
1,defense cooperation agreement,1993,1999,United States,general,DCA
190,defense cooperation agreement,2003,2010,Albania,general,DCA
1,defense cooperation agreement,2003,2010,United States,general,DCA
190,defense cooperation agreement,2004,2010,Macedonia,general,DCA
104,defense cooperation agreement,2004,2010,United States,general,DCA
190,defense cooperation agreement,1994,2000,Croatia,general,DCA
43,defense cooperation agreement,1994,2000,United States,general,DCA
190,defense cooperation agreement,1995,2001,Croatia,sector,TREX
43,defense cooperation agreement,1995,2001,United States,sector,TREX
190,defense cooperation agreement,2003,2010,Croatia,general,DCA
43,defense cooperation agreement,2003,2010,United States,general,DCA
190,defense cooperation agreement,2006,2010,Yugoslavia,general,DCA
206,defense cooperation agreement,2006,2010,United States,general,DCA
190,defense cooperation agreement,2005,2010,Bosnia & Herzegovina,general,DCA
21,defense cooperation agreement,2005,2010,United States,general,DCA
190,defense cooperation agreement,2008,2010,Bosnia & Herzegovina,sector,TREX
21,defense cooperation agreement,2008,2010,United States,sector,TREX
190,defense cooperation agreement,1995,2001,Slovenia,general,DCA
161,defense cooperation agreement,1995,2001,United States,general,DCA
190,defense cooperation agreement,1999,2010,Slovenia,general,DCA
161,defense cooperation agreement,1999,2010,United States,general,DCA
190,defense cooperation agreement,1983,2010,Greece,general,DCA
67,defense cooperation agreement,1983,2010,United States,general,DCA
190,defense cooperation agreement,1986,2010,Greece,general,DIC
67,defense cooperation agreement,1986,2010,United States,general,DIC
190,defense cooperation agreement,1990,2010,Greece,general,DCA
67,defense cooperation agreement,1990,2010,United States,general,DCA
190,defense cooperation agreement,1994,2000,Bulgaria,general,DCA
25,defense cooperation agreement,1994,2000,United States,general,DCA
190,defense cooperation agreement,2006,2010,Bulgaria,general,DCA
25,defense cooperation agreement,2006,2010,United States,general,DCA
190,defense cooperation agreement,1995,2010,Moldova,general,DCA
116,defense cooperation agreement,1995,2010,United States,general,DCA
190,defense cooperation agreement,1997,2010,Moldova,general,DCA
116,defense cooperation agreement,1997,2010,United States,general,DCA
190,defense cooperation agreement,1998,2010,Romania,general,DCA
146,defense cooperation agreement,1998,2010,United States,general,DCA
190,defense cooperation agreement,2002,2009,Estonia,general,DCA
57,defense cooperation agreement,2002,2009,United States,general,DCA
190,defense cooperation agreement,1995,2001,Latvia,general,DCA
96,defense cooperation agreement,1995,2001,United States,general,DCA
190,defense cooperation agreement,1994,2000,Lithuania,general,DCA
102,defense cooperation agreement,1994,2000,United States,general,DCA
190,defense cooperation agreement,1997,2010,Lithuania,sector,RESEARCH
102,defense cooperation agreement,1997,2010,United States,sector,RESEARCH
190,defense cooperation agreement,2009,2010,Lithuania,general,DCA
102,defense cooperation agreement,2009,2010,United States,general,DCA
190,defense cooperation agreement,1993,1999,Ukraine,general,DCA
187,defense cooperation agreement,1993,1999,United States,general,DCA
190,defense cooperation agreement,2000,2010,Ukraine,sector,RESEARCH
187,defense cooperation agreement,2000,2010,United States,sector,RESEARCH
190,defense cooperation agreement,1993,1999,Belarus,sector,COMMISSION
15,defense cooperation agreement,1993,1999,United States,sector,COMMISSION
190,defense cooperation agreement,2001,2007,Armenia,general,DCA
7,defense cooperation agreement,2001,2007,United States,general,DCA
190,defense cooperation agreement,2002,2008,Armenia,general,DCA
7,defense cooperation agreement,2002,2008,United States,general,DCA
190,defense cooperation agreement,2003,2009,Armenia,general,DCA
7,defense cooperation agreement,2003,2009,United States,general,DCA
190,defense cooperation agreement,1997,2010,Georgia,general,DCA
64,defense cooperation agreement,1997,2010,United States,general,DCA
190,defense cooperation agreement,1998,2004,Georgia,general,DCA
64,defense cooperation agreement,1998,2004,United States,general,DCA
190,defense cooperation agreement,2002,2010,Georgia,general,DCA
64,defense cooperation agreement,2002,2010,United States,general,DCA
190,defense cooperation agreement,2005,2010,Georgia,sector,TREX
64,defense cooperation agreement,2005,2010,United States,sector,TREX
190,defense cooperation agreement,1999,2010,Azerbaijan,general,DCA
10,defense cooperation agreement,1999,2010,United States,general,DCA
190,defense cooperation agreement,2000,2006,Azerbaijan,general,DCA
10,defense cooperation agreement,2000,2006,United States,general,DCA
190,defense cooperation agreement,2000,2006,Azerbaijan,sector,TREX
10,defense cooperation agreement,2000,2006,United States,sector,TREX
190,defense cooperation agreement,2002,2008,Azerbaijan,general,DCA
10,defense cooperation agreement,2002,2008,United States,general,DCA
190,defense cooperation agreement,1991,2009,Finland,general,DIC
60,defense cooperation agreement,1991,2009,United States,general,DIC
190,defense cooperation agreement,1995,2010,Finland,sector,RESEARCH
60,defense cooperation agreement,1995,2010,United States,sector,RESEARCH
190,defense cooperation agreement,2005,2010,Finland,general,DCA
60,defense cooperation agreement,2005,2010,United States,general,DCA
190,defense cooperation agreement,2008,2010,Finland,general,DIC
60,defense cooperation agreement,2008,2010,United States,general,DIC
190,defense cooperation agreement,1987,2010,Sweden,general,DIC
171,defense cooperation agreement,1987,2010,United States,general,DIC
190,defense cooperation agreement,1997,2010,Sweden,sector,RESEARCH
171,defense cooperation agreement,1997,2010,United States,sector,RESEARCH
190,defense cooperation agreement,1997,2010,Sweden,sector,RESEARCH
171,defense cooperation agreement,1997,2010,United States,sector,RESEARCH
190,defense cooperation agreement,1999,2010,Sweden,sector,TREX
171,defense cooperation agreement,1999,2010,United States,sector,TREX
190,defense cooperation agreement,1980,2010,Denmark,general,DIC
47,defense cooperation agreement,1980,2010,United States,general,DIC
