ID,eventName,warName,startYear,endYear,initiatorOrTarget,outcome,deaths
166,start of war,Franco-Spanish War,1823,1823,target,lost,600
61,start of war,Franco-Spanish War,1823,1823,initiator,won,400
183,start of war,First Russo-Turkish,1828,1828,target,lost,80000
147,start of war,First Russo-Turkish,1828,1828,initiator,won,50000
114,start of war,Mexican-American,1846,1846,target,lost,6000
190,start of war,Mexican-American,1846,1846,initiator,won,13283
209,start of war,Austro-Sardinian,1848,1848,target,lost,100
85,start of war,Austro-Sardinian,1848,1848,initiator,lost,3400
204,start of war,Austro-Sardinian,1848,1848,target,won,3927
208,start of war,Austro-Sardinian,1848,1848,target,lost,100
65,start of war,First Schleswig-Holstein,1848,1848,initiator,won,2500
47,start of war,First Schleswig-Holstein,1848,1848,target,lost,3500
61,start of war,Roman Republic,1849,1849,initiator,won,1000
211,start of war,Roman Republic,1849,1849,target,won,100
204,start of war,Roman Republic,1849,1849,target,won,100
210,start of war,Roman Republic,1849,1849,target,lost,1400
6,start of war,La Plata,1851,1851,target,lost,800
23,start of war,La Plata,1851,1851,initiator,won,500
183,start of war,Crimean,1853,1853,initiator,won,45000
85,start of war,Crimean,1855,1855,target,won,2200
61,start of war,Crimean,1854,1854,target,won,95000
189,start of war,Crimean,1854,1854,target,won,22000
147,start of war,Crimean,1853,1853,target,lost,100000
189,start of war,Anglo-Persian,1856,1856,initiator,won,500
81,start of war,Anglo-Persian,1856,1856,target,lost,1500
85,start of war,Italian Unification,1859,1859,target,won,2500
204,start of war,Italian Unification,1859,1859,initiator,lost,12500
61,start of war,Italian Unification,1859,1859,target,won,7500
120,start of war,First Spanish-Moroccan,1859,1859,target,lost,6000
166,start of war,First Spanish-Moroccan,1859,1859,initiator,won,4000
85,start of war,Italian-Roman,1860,1860,initiator,won,300
210,start of war,Italian-Roman,1860,1860,target,lost,700
211,start of war,Neapolitan,1860,1860,target,lost,400
85,start of war,Neapolitan,1860,1860,initiator,won,600
114,start of war,Franco-Mexican,1862,1862,target,the war was transformed into another type of war,12000
61,start of war,Franco-Mexican,1862,1862,initiator,the war was transformed into another type of war,8000
36,start of war,Ecuadorian-Colombian,1863,1863,initiator,won,300
52,start of war,Ecuadorian-Colombian,1863,1863,target,lost,700
65,start of war,Second Schleswig-Holstein,1864,1864,initiator,won,1048
47,start of war,Second Schleswig-Holstein,1864,1864,target,lost,2933
204,start of war,Second Schleswig-Holstein,1864,1864,target,won,500
6,start of war,Lopez,1865,1865,target,won,10000
139,start of war,Lopez,1864,1864,initiator,lost,200000
23,start of war,Lopez,1864,1864,target,won,100000
34,start of war,Naval War,1865,1865,target,won,100
140,start of war,Naval War,1866,1866,target,won,600
166,start of war,Naval War,1865,1865,initiator,lost,300
85,start of war,Seven Weeks,1866,1866,target,won,4000
217,start of war,Seven Weeks,1866,1866,target,lost,100
215,start of war,Seven Weeks,1866,1866,target,lost,100
214,start of war,Seven Weeks,1866,1866,target,lost,500
204,start of war,Seven Weeks,1866,1866,target,lost,28000
65,start of war,Seven Weeks,1866,1866,initiator,won,10000
213,start of war,Seven Weeks,1866,1866,target,won,100
216,start of war,Seven Weeks,1866,1866,target,lost,100
219,start of war,Seven Weeks,1866,1866,target,lost,600
218,start of war,Seven Weeks,1866,1866,target,lost,100
212,start of war,Seven Weeks,1866,1866,target,lost,500
215,start of war,Franco-Prussian,1870,1870,target,won,976
218,start of war,Franco-Prussian,1870,1870,target,won,956
65,start of war,Franco-Prussian,1870,1870,target,won,44781
214,start of war,Franco-Prussian,1870,1870,target,won,5600
61,start of war,Franco-Prussian,1870,1870,initiator,lost,152000
69,start of war,First Central American,1876,1876,initiator,won,2000
54,start of war,First Central American,1876,1876,target,lost,2000
183,start of war,Second Russo-Turkish,1877,1877,target,lost,165000
147,start of war,Second Russo-Turkish,1877,1877,initiator,won,120000
34,start of war,War of the Pacific,1879,1879,initiator,won,3276
140,start of war,War of the Pacific,1879,1879,target,lost,9672
20,start of war,War of the Pacific,1879,1879,target,lost,920
53,start of war,Conquest of Egypt,1882,1882,target,lost,10000
189,start of war,Conquest of Egypt,1882,1882,initiator,won,79
61,start of war,Sino-French,1884,1884,initiator,won,2100
35,start of war,Sino-French,1884,1884,target,lost,10000
54,start of war,Second Central American,1885,1885,target,won,200
69,start of war,Second Central American,1885,1885,initiator,lost,800
35,start of war,First Sino-Japanese,1894,1894,target,lost,10000
87,start of war,First Sino-Japanese,1894,1894,initiator,won,5000
67,start of war,Greco-Turkish,1897,1897,initiator,lost,600
183,start of war,Greco-Turkish,1897,1897,target,won,1400
166,start of war,Spanish-American,1898,1898,target,lost,775
190,start of war,Spanish-American,1898,1898,initiator,won,2910
147,start of war,Boxer Rebellion,1900,1900,initiator,won,302
87,start of war,Boxer Rebellion,1900,1900,initiator,won,622
190,start of war,Boxer Rebellion,1900,1900,initiator,won,21
35,start of war,Boxer Rebellion,1900,1900,target,lost,2000
189,start of war,Boxer Rebellion,1900,1900,initiator,won,34
61,start of war,Boxer Rebellion,1900,1900,initiator,won,24
147,start of war,Sino-Russian,1900,1900,initiator,won,242
35,start of war,Sino-Russian,1900,1900,target,lost,3758
87,start of war,Russo-Japanese,1904,1904,initiator,won,80378
147,start of war,Russo-Japanese,1904,1904,target,lost,71453
75,start of war,Third Central American,1906,1906,target,lost,300
54,start of war,Third Central American,1906,1906,target,lost,300
69,start of war,Third Central American,1906,1906,initiator,won,400
128,start of war,Fourth Central American,1907,1907,initiator,won,400
54,start of war,Fourth Central American,1907,1907,target,lost,300
75,start of war,Fourth Central American,1907,1907,target,lost,300
166,start of war,Second Spanish-Moroccan,1909,1909,initiator,won,2000
120,start of war,Second Spanish-Moroccan,1909,1909,target,lost,8000
85,start of war,Italian-Turkish,1911,1911,initiator,won,6000
183,start of war,Italian-Turkish,1911,1911,target,lost,14000
183,start of war,First Balkan,1912,1912,target,lost,30000
67,start of war,First Balkan,1912,1912,target,won,5000
25,start of war,First Balkan,1912,1912,target,won,32000
206,start of war,First Balkan,1912,1912,initiator,won,15000
183,start of war,Second Balkan,1913,1913,target,won,20000
206,start of war,Second Balkan,1913,1913,target,won,18500
67,start of war,Second Balkan,1913,1913,target,won,2500
25,start of war,Second Balkan,1913,1913,initiator,lost,18000
146,start of war,Second Balkan,1913,1913,target,won,1500
206,start of war,World War I,1914,1914,target,won,70000
147,start of war,World War I,1914,1914,target,won,1700000
25,start of war,World War I,1915,1915,target,lost,87500
189,start of war,World War I,1914,1914,target,won,908371
87,start of war,World War I,1914,1914,target,won,300
143,start of war,World War I,1916,1916,target,won,7222
183,start of war,World War I,1914,1914,target,lost,325000
16,start of war,World War I,1914,1914,target,won,13716
65,start of war,World War I,1914,1914,target,lost,1773700
67,start of war,World War I,1917,1917,target,won,5000
146,start of war,World War I,1916,1916,target,won,335706
204,start of war,World War I,1914,1914,initiator,lost,1200000
61,start of war,World War I,1914,1914,target,won,1385000
85,start of war,World War I,1915,1915,target,won,650000
190,start of war,World War I,1917,1917,target,won,116516
57,start of war,Estonian Liberation,1918,1918,target,won,3600
60,start of war,Estonian Liberation,1918,1918,target,won,150
147,start of war,Estonian Liberation,1918,1918,initiator,lost,8000
65,start of war,Latvian Liberation,1918,1918,target,changed sides,450
147,start of war,Latvian Liberation,1918,1918,initiator,lost,8000
65,start of war,Latvian Liberation,1919,1919,target,lost,750
57,start of war,Latvian Liberation,1919,1919,target,won,1000
96,start of war,Latvian Liberation,1918,1918,target,won,3046
147,start of war,Russo-Polish,1919,1919,initiator,lost,60000
142,start of war,Russo-Polish,1919,1919,target,won,40000
77,start of war,Hungarian Adversaries,1919,1919,target,lost,6000
207,start of war,Hungarian Adversaries,1919,1919,target,won,2000
146,start of war,Hungarian Adversaries,1919,1919,initiator,won,3000
183,start of war,Second Greco-Turkish,1919,1919,target,won,20000
67,start of war,Second Greco-Turkish,1919,1919,initiator,lost,30000
183,start of war,Franco-Turkish,1919,1919,target,tied,35000
61,start of war,Franco-Turkish,1919,1919,initiator,tied,5000
102,start of war,Lithuanian-Polish,1920,1920,target,lost,500
142,start of war,Lithuanian-Polish,1920,1920,initiator,won,500
147,start of war,Manchurian,1929,1929,initiator,won,200
35,start of war,Manchurian,1929,1929,target,lost,3000
87,start of war,Second Sino-Japanese,1931,1931,initiator,won,10000
35,start of war,Second Sino-Japanese,1931,1931,target,lost,50000
20,start of war,Chaco,1932,1932,initiator,lost,56661
139,start of war,Chaco,1932,1932,target,won,36000
154,start of war,Saudi-Yemeni,1934,1934,initiator,won,100
205,start of war,Saudi-Yemeni,1934,1934,target,lost,2000
85,start of war,Conquest of Ethiopia,1935,1935,initiator,won,4000
58,start of war,Conquest of Ethiopia,1935,1935,target,lost,16000
35,start of war,Third Sino-Japanese,1937,1937,target,lost,750000
87,start of war,Third Sino-Japanese,1937,1937,initiator,won,250000
147,start of war,Changkufeng,1938,1938,target,won,1200
87,start of war,Changkufeng,1938,1938,initiator,lost,526
147,start of war,Nomonhan,1939,1939,target,won,5000
118,start of war,Nomonhan,1939,1939,target,won,3000
87,start of war,Nomonhan,1939,1939,initiator,lost,20000
77,start of war,World War II,1941,1941,target,lost,136000
16,start of war,World War II,1940,1940,target,won,9600
61,start of war,World War II,1940,1940,target,lost,2500
206,start of war,World War II,1941,1941,target,won,305000
60,start of war,World War II,1941,1941,target,lost,65000
132,start of war,World War II,1940,1940,target,won,3000
30,start of war,World War II,1939,1939,target,won,41992
190,start of war,World War II,1941,1941,target,won,405400
189,start of war,World War II,1939,1939,target,won,418765
126,start of war,World War II,1940,1940,target,won,7900
85,start of war,World War II,1940,1940,target,lost,174500
146,start of war,World War II,1944,1944,target,won,10000
146,start of war,World War II,1941,1941,target,lost,290000
25,start of war,World War II,1941,1941,target,lost,9000
25,start of war,World War II,1944,1944,target,won,1000
67,start of war,World War II,1940,1940,target,won,18300
23,start of war,World War II,1944,1944,target,won,1000
85,start of war,World War II,1943,1943,target,won,52400
8,start of war,World War II,1939,1939,target,won,33826
127,start of war,World War II,1939,1939,target,won,12200
147,start of war,World War II,1941,1941,target,won,7500000
65,start of war,World War II,1939,1939,initiator,lost,3500000
142,start of war,World War II,1939,1939,target,won,320000
61,start of war,World War II,1939,1939,target,won,210824
87,start of war,World War II,1941,1941,target,lost,1740000
118,start of war,World War II,1945,1945,target,won,3000
35,start of war,World War II,1941,1941,target,won,1350000
164,start of war,World War II,1939,1939,target,won,8700
58,start of war,World War II,1941,1941,target,won,5000
60,start of war,Russo-Finnish,1939,1939,target,lost,24923
147,start of war,Russo-Finnish,1939,1939,initiator,won,126875
61,start of war,Franco-Thai,1940,1940,target,lost,700
177,start of war,Franco-Thai,1940,1940,initiator,won,700
79,start of war,First Kashmir,1947,1947,initiator,stalemate,2500
134,start of war,First Kashmir,1947,1947,target,stalemate,1000
84,start of war,Arab-Israeli,1948,1948,target,won,3000
53,start of war,Arab-Israeli,1948,1948,target,lost,2000
173,start of war,Arab-Israeli,1948,1948,target,lost,1000
97,start of war,Arab-Israeli,1948,1948,target,lost,500
88,start of war,Arab-Israeli,1948,1948,initiator,lost,1000
82,start of war,Arab-Israeli,1948,1948,target,lost,500
35,start of war,Korean,1950,1950,target,stalemate,422612
16,start of war,Korean,1951,1951,target,stalemate,97
30,start of war,Korean,1950,1950,target,stalemate,309
36,start of war,Korean,1951,1951,target,stalemate,140
189,start of war,Korean,1950,1950,target,stalemate,710
126,start of war,Korean,1951,1951,target,stalemate,111
67,start of war,Korean,1951,1951,target,stalemate,169
61,start of war,Korean,1951,1951,target,stalemate,288
183,start of war,Korean,1950,1950,target,stalemate,717
141,start of war,Korean,1950,1950,target,stalemate,92
177,start of war,Korean,1951,1951,target,stalemate,114
51,start of war,Korean,1950,1950,initiator,stalemate,316579
58,start of war,Korean,1951,1951,target,stalemate,120
8,start of war,Korean,1950,1950,target,stalemate,291
145,start of war,Korean,1950,1950,target,stalemate,113248
190,start of war,Korean,1950,1950,target,stalemate,54487
35,start of war,Off-shore Islands,1954,1954,initiator,won,1003
174,start of war,Off-shore Islands,1954,1954,target,lost,1367
61,start of war,Sinai War,1956,1956,target,won,10
84,start of war,Sinai War,1956,1956,initiator,won,189
53,start of war,Sinai War,1956,1956,target,lost,3000
189,start of war,Sinai War,1956,1956,target,won,22
77,start of war,Soviet Invasion of Hungary,1956,1956,target,lost,926
147,start of war,Soviet Invasion of Hungary,1956,1956,initiator,won,1500
61,start of war,IfniWar,1958,1958,target,won,0
166,start of war,IfniWar,1957,1957,target,won,122
120,start of war,IfniWar,1957,1957,initiator,lost,1000
35,start of war,Taiwan Straits,1958,1958,initiator,stalemate,300
174,start of war,Taiwan Straits,1958,1958,target,stalemate,1500
79,start of war,Assam,1962,1962,target,lost,1353
35,start of war,Assam,1962,1962,initiator,won,500
190,start of war,"Vietnam War, Phase 2",1965,1965,initiator,lost,58153
28,start of war,"Vietnam War, Phase 2",1970,1970,target,lost,2500
145,start of war,"Vietnam War, Phase 2",1965,1965,target,lost,4687
141,start of war,"Vietnam War, Phase 2",1966,1966,target,lost,1000
203,start of war,"Vietnam War, Phase 2",1965,1965,target,lost,254257
195,start of war,"Vietnam War, Phase 2",1965,1965,target,won,700000
177,start of war,"Vietnam War, Phase 2",1967,1967,target,lost,351
8,start of war,"Vietnam War, Phase 2",1965,1965,target,lost,494
79,start of war,Second Kashmir,1965,1965,target,lost,3261
134,start of war,Second Kashmir,1965,1965,initiator,won,3800
84,start of war,Six Day War,1967,1967,initiator,won,1000
53,start of war,Six Day War,1967,1967,target,lost,10000
88,start of war,Six Day War,1967,1967,target,lost,6100
173,start of war,Six Day War,1967,1967,target,lost,2500
190,start of war,"Second Laotian, Phase 2",1968,1968,target,lost,375
177,start of war,"Second Laotian, Phase 2",1970,1970,target,lost,
95,start of war,"Second Laotian, Phase 2",1968,1968,target,lost,11250
195,start of war,"Second Laotian, Phase 2",1968,1968,initiator,won,2250
53,start of war,War of Attrition,1969,1969,initiator,stalemate,5000
84,start of war,War of Attrition,1969,1969,target,stalemate,368
75,start of war,Football War,1969,1969,target,lost,1200
54,start of war,Football War,1969,1969,initiator,won,700
195,start of war,Communist Coalition,1970,1970,initiator,the war was transformed into another type of war,400
190,start of war,Communist Coalition,1970,1970,target,the war was transformed into another type of war,125
28,start of war,Communist Coalition,1970,1970,target,the war was transformed into another type of war,5000
203,start of war,Communist Coalition,1970,1970,target,the war was transformed into another type of war,1000
79,start of war,Bangladesh,1971,1971,target,won,3241
134,start of war,Bangladesh,1971,1971,initiator,lost,7982
53,start of war,Yom Kippur War,1973,1973,initiator,lost,7700
154,start of war,Yom Kippur War,1973,1973,target,lost,100
84,start of war,Yom Kippur War,1973,1973,target,won,2838
88,start of war,Yom Kippur War,1973,1973,target,lost,23
173,start of war,Yom Kippur War,1973,1973,initiator,lost,3500
82,start of war,Yom Kippur War,1973,1973,target,lost,278
183,start of war,Turco-Cypriot,1974,1974,initiator,won,1000
45,start of war,Turco-Cypriot,1974,1974,target,lost,500
44,start of war,War over Angola,1975,1975,target,the war was transformed into another type of war,1500
164,start of war,War over Angola,1975,1975,initiator,the war was transformed into another type of war,100
39,start of war,War over Angola,1975,1975,target,the war was transformed into another type of war,100
4,start of war,War over Angola,1975,1975,target,the war was transformed into another type of war,1000
58,start of war,"Second Ogaden War, Phase 2",1977,1977,target,the war was transformed into another type of war,1800
44,start of war,"Second Ogaden War, Phase 2",1977,1977,target,the war was transformed into another type of war,700
163,start of war,"Second Ogaden War, Phase 2",1977,1977,initiator,the war was transformed into another type of war,8000
195,start of war,Vietnamese-Cambodian,1977,1977,target,the war was transformed into another type of war,3000
28,start of war,Vietnamese-Cambodian,1977,1977,initiator,the war was transformed into another type of war,5000
186,start of war,Ugandian-Tanzanian,1978,1978,initiator,lost,1500
176,start of war,Ugandian-Tanzanian,1978,1978,target,won,1000
100,start of war,Ugandian-Tanzanian,1979,1979,target,lost,500
35,start of war,Sino-Vietnamese Punitive,1979,1979,initiator,won,13000
195,start of war,Sino-Vietnamese Punitive,1979,1979,target,lost,8000
82,start of war,Iran-Iraq,1980,1980,initiator,stalemate,500000
81,start of war,Iran-Iraq,1980,1980,target,stalemate,750000
189,start of war,Falkland Islands,1982,1982,target,won,255
6,start of war,Falkland Islands,1982,1982,initiator,lost,746
84,start of war,War over Lebanon,1982,1982,initiator,stalemate,455
173,start of war,War over Lebanon,1982,1982,target,stalemate,1200
33,start of war,War over the Aouzou Strip,1986,1986,initiator,won,1000
100,start of war,War over the Aouzou Strip,1986,1986,target,lost,7000
195,start of war,Sino-Vietnamese Border War,1987,1987,target,stalemate,2200
35,start of war,Sino-Vietnamese Border War,1987,1987,initiator,stalemate,1800
93,start of war,Gulf War,1990,1990,target,won,1000
190,start of war,Gulf War,1991,1991,target,won,376
30,start of war,Gulf War,1991,1991,target,won,0
189,start of war,Gulf War,1991,1991,target,won,24
85,start of war,Gulf War,1991,1991,target,won,0
120,start of war,Gulf War,1991,1991,target,won,0
82,start of war,Gulf War,1990,1990,initiator,lost,40000
53,start of war,Gulf War,1991,1991,target,won,14
133,start of war,Gulf War,1991,1991,target,won,0
61,start of war,Gulf War,1991,1991,target,won,2
188,start of war,Gulf War,1991,1991,target,won,6
144,start of war,Gulf War,1991,1991,target,won,0
154,start of war,Gulf War,1991,1991,target,won,44
173,start of war,Gulf War,1991,1991,target,won,0
43,start of war,Bosnian Independence,1992,1992,target,the war was transformed into another type of war,500
